CustomerID,Name,Email,DateOfBirth,RegistrationDate,Country,MonthlySpend
1,John Doe,johndoe@example.com,2/15/1985,2024-01-12,United States,200
2,Jane Smith,janesmith@example.com,8/20/1990,,United States ,300
3,Alan Brown,alanbrown@example.com,1/15/1975,2024-02-05, Canada,150
4,Eva White,evawhite@example.com,7/30/1987,2024-02-15,united states,400
5,Mark Black,markblack@example.com,2/12/1982,2024-02-15,Canada,
6,Lisa Green,lisagreen@example.com,10/19/1979,2024-04-10,United Kingdom,250
7,Paul Blue,paulblue@example.com,11/3/1983,2024-01-28,united kingdom,
8,Alice Pink,alicepink@example.com,4/22/1977,2024-05-18, Mexico,450
9,Mary Orange,maryorange@example.com,,2024-02-22,France,300
10,Chris Gray,chrisgray@example.com,12/11/1986,2024-03-01, United States,
